,Command,DistToRfvThreshold,Text
13,bet/slot/เข้าเกมส์สล็อตไม่ได้ มีเกมส์เล่นค้าง,0.8683981984466977,เข้า เล่น อีก เกม ไม่ ได้ มัน เด้ง ป้อ บอัพ มา 
14,account/ไม่สามารถเข้าใช้งานยูสเซอร์เนมได้,1.265505462668615,ยูส โดน ล็อค อ่ะ
15,promotion/วิธีการสมัครโปรโมชั่น,1.1901555476206076,หน้า โปรโมชั่น อยู่ ตรง ไหน 
16,promotions/others/โปรโมชั่นอื่นๆ,0.9063375855147834,ไม่ มี เครดิต ฟรี เลย มี อะไร แนะ นำ ผม ไหม ครับ 
17,bet/เดิมพันอย่างไร,1.3219719994482477,เดิม พัน อย่าง ไร ครับ 
18,payment/withdrawal/รายการถอนอนุมัติแต่ไม่ได้รับเงิน,1.346858034940358,เมื่อ ไร ได้ 
19,payment/deposit/cashcard/การฝากแบบบัตรเงินสด,0.5696397292711989,มี การ ฝาก แบบ บัตร เงิน สด ด้วย หรอ 
20,payment/deposit/localbank/ธนาคารปิดปรับปรุงระบบ,1.1075086367179723,ธนาคาร ปิด ปรับ ปรุง แล้ว เหรอ 
21,bet/lottery/เปิดให้เดิมพันหวยเมื่อไหร่,1.2118557694168108,จะ แทง หวน 
22,promotions/freespin/หมุนสล็อตฟรีจากโปรโมชั่นโบนัสหมุนสล็อตฟรี 100 ครั้ง!,0.5712801778039198,ทำ ยอด หมุน เวียน ครบ แล้ว หมุนฟรี ที่ เกมส์ ไร 
23,account/ปลดล็อคการตั้งค่าส่วนตัว,1.2766898536504503,แก้ ไข ความ เป็น ส่วน ตัว ใน การ โอน เงิน ให้ หน่อย ครับ 
24,bet/lottery/ปิดให้เดิมพันหวยเมื่อไหร่,1.0292748172436754,ปิด รับ เลข ตอน ไหน 
25,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,1.2879429871364274,ผม ลอก อิน ผิด หลาย ค รัง 
26,bet/lottery/วิธีการเดิมพันหวย,0.9900848374296852,กด ลง ทะเบียน เลข หวย ยังไง 
27,account/บัญชีถูกปิด,1.2904462129799215,Mana29 เข้า เล่น ไม้ ได้ ครับ 
28,bet/sportsbook/บิลอีสปอร์ตยังไม่ปรับ,1.2588393535416755,ให้ ผม รอ อีก นาน แค่ ไหน บิ ลุ คง จะ ปรับ 
29,payment/withdrawal/รายการถอนถูกปฏิเสธ,1.2095647005166643,ขึ้น แฏิ เส ต ตลอด 
30,account/เปลี่ยนชื่อนามสกุล,1.3036624379257236,จะ ถอน เงิน ต้อง เปลี่ยน เป็น ขื่อ ใคร 
31,others/ช่องทางการติดต่อฝ่ายพันธมิตร,0.5,
32,payment/deposit/ยอดฝากขั้นต่ำและสูงสุด,1.1060294814122122,ฝาก เงิน 100 บาท ได้ ไหม 
33,payment/deposit/others/ไลน์นางฟ้า,1.3022806643856848,ฝาก เงิน ช่อง ทาง ไหน ได้ บ้าง 
34,promotions/signup/โปรโมชั่นแรกเข้า,1.1838865660223146,"แต่ ไม่ เหง ครับ """
35,payment/withdrawal/เพิ่มวงเงินการถอน,1.078476147341922,อา ก ถอน เงิน ยอด ใหญ่ ต้อง ใช้ เอก สาร ไร มั่ง 
36,bet/slot/เกมส์สล็อตปรับบิลการเดิมพันมีปัญหา,1.1051467617115132,ตา เมื่อ กี้ ได้ เงิน แต่ ไม่ ปรับ เข้า ให้ อ่ะ
37,payment/withdrawal/การถอนมีปัญหา,1.0872728968958467,ผม ถอน ไม่ ได้ ระบบ แจ้ง เตือน ทำ ไง 
38,bet/slot/บัญชีเกมส์ยอดเงินไม่ถูกต้อง,1.0902208322110793,ต้อง ย้าย เงิน เข้า มา ที่ บัญชี นี้ ก่อน ใช่ ไหม พี่ 
39,website/ขั้นตอนการสมัครสมาชิก,1.3228034176151504,กระจอก 
40,website/ไม่สามารถเข้าใช้งานเว็บไซต์ได้,1.2001295821663318,ขึ้น หน้า จอ สี ฟ้า ต้อง ทำ ไง 
41,common/เสียเดิมพัน/โวยวาย,1.2706521415024667,หมด ไป เป็น พัน แล้ว 
42,fund  transfer/โอนเงินไม่ได้,1.1048111192743488,ช่วย ผม โอน เงิน เข้า บัญชี หลัก หน่อย โอน ไม ได้ 
43,payment/deposit/รายการฝากถูกปฏิเสธ,1.104569165705731,ทำไม ราย การ ฝาก ไม่ สำเร็จ 
44,account/ลบบัญชี,1.2685162427227357,ลบ บัญชี ผม เลย ก็ ได้ ครับ 
45,payment/withdrawal/วิธีเพิ่มบัญชีถอน,1.0171892032210146,ฝาก แล้ว แต่ เขา บอก ว่า บัญชี ไม่ ตรง กัน ทำ ไง ครับ 
46,bet/ยอดเดิมพันขั้นต่ำ,1.0617624341978062,เล่น เริ่ม ที่ เท่าไร 
47,payment/deposit/เพิ่งวงเงินการฝากต่อวัน,1.0151127431213767,ฝาก สา สุด ได้ เท่าไหร่ ครับ 
48,account/password/ไม่สามารถเปลี่ยนรหัสผ่านจากลิ้งในอีเมลได้,1.1684519619570375,ผม ทำ ราย การ ลืม รหัส ผ่าน มา สิบ รอบ แล้ว ไม ได้ 
49,bet/slot/pt/บัญชี IM คาสิโน,0.8470066535275873,บัญชี ไอ เอ็ม ใช้ รหัส ผ่าน เดียว กัน กับ ตอน สมัคร ได้ ไหม 
50,payment/deposit/localbank/ทำรายการฝากใหม่อีกครั้ง,1.2398769487092336,ผม แจ้ง เวลา ผิด ทำ ไง ดี ครับ 
51,payment/deposit/localbank/รายการฝากบัญชีภายในประเทศเกิน 30 นาที,1.2830124029001524,เงิน กู อยุ่ ไหน ทำไม ไม่ เข้า 
52,payment/withdrawal/ลบข้อมูลบัญชีการถอน,1.0246757264697945,ผม อยาก ใช้ บัญชี ผม อีก บัย ชี ใน การ ถอน ได้ ไหม ครับ 
53,payment/deposit/ยอดฝากไม่ปรับ,1.0680000104590603,ผม กรอก ข้อ มูล ถูก ไหม ครับ ตรวจ สอบ ให้ ผม ที ครับ 
54,website/ข้อมูลทั่วไปเกี่ยวกับเว็บไซต์,1.2204653054135024,ให้ บริการ อะไร บ้าง 
55,bet/livedealer/คาสิโนสดปรับบิลการเดิมพันผิด,1.0148588556442961,เงิน ใน คาสิโน มี ปัญหา อะไร ป่าว ครับ ทำไม มัน ไม่ เห็น 
56,payment/deposit/localbank/ขั้นตอนการฝากบัญชีภายในประเทศ,1.1503583274338067,สอน ผม ฝาก เงิน หน่อย 
57,payment/deposit/ยกเลิกรายการฝาก,0.8131918162627423,ผม กรอก เวลา ผิด ยก เลิก ให้ หน่อย 
58,bet/sportsbook/หน้ากีฬาไม่มีให้เดิมพันบางคู่,1.0471551650977342,ผม จะ แทง แต่ ไม่ มี ให้ เลือก เลย อ่ะ
59,account/ลืมยูสเซอร์เนม,1.3079044440846306,ลอก อิน ไม่ ได้ ครับ 
60,payment/deposit/รูปแบบการฝากเงิน,1.1702138302976062,ฝาก ผ่าน ท รู สอ ลเล็ต ได้ ไหม เอ่ย 
61,others/ประเทศที่ไม่รองรับบริการ,1.3069821320991934,ยู กัน ดา 
62,promotions/freebet/โปรโมชั่นสำหรับสมาชิกใหม่,1.3338174838962518,สมาชิก เสร็จ แล้ว ครับ เคร ดิท ได้ เมื่อไหร่ ครับ 
63,account/email/อัพเดทอีเมล,0.7937792237604091,ขอ เปลี่ยน อิ เมล 
64,common/ไม่พอใจ,1.276098950135787,รีบ ปรับ ปรุง ด่วน เลย 
65,promotions/freespin/โปรโมชั่นหมุนสล็อตฟรี,0.8234154160819384,ผม มี หมุนฟรี เหลือ อยู่ บ้าง ไหม 
66,promotion/rebate/โปรโมชั่นเงินคืน,1.0108357852498295,เงิน คืน ป รัย ตอน ไหน 
67,payment/deposit/ฝากเงิน Fast Baht ไม่ได้,1.1813562786336087,หน้า fastbaht ปิด ปรับ ปรุง หรอ ทำไม เข้า ไป ไม ได้ 
68,bet/livedealer/เข้าหน้าคาสิโนสดไม่ได้ เออเร่อ,0.9308356777161336,คาสิโน เออ เร่อ หรอ ค่ะ 
69,account/password/ไม่สามารถเปลี่ยนรหัสผ่านได้,1.0226864235367845,ทำไม เปลี่ยน ไม่ ได้ 
70,bet/livedealer/ยอดเงินในบัญชีคาสิโนออนไลน์ไม่ถูกต้อง,1.0007342247428685,จำนวน เงิน ไม่ ถูก ต้อง คือ อะไร ค่ะ 
71,promotion/โปรแนะนำเพื่อน,1.0404480959281344,เพื่อน ต ต้อง ฝาก เงิน ภาย ใน วัน ไหน 
72,bet/การปรับยอดการเดิมพันมีปัญหา,1.0975819886855778,ปรับ ยอด เร็ว เกมส์ นี้ 
73,reward/วิธีการสะสมแต้มรีวอร์ด,0.9695444423285302,ซื้อ แต้ม รี วอ ร์ด ยังไง ครับ 
74,account/อัพเดทประวัติ,1.201158504666269,เปลี่ยน เบอร์ ทำ ไง 
75,payment/withdrawal/verification/ถอนเงินไม่ได้ ถูกตรวจสอบ,1.360333759726345,เทิน โอ เ วอ ครบ ยัง 
76,account/phone/เปลี่ยนเบอร์โทรศัพท์อย่างไร,0.8861029551389445,ผม อยาก ใช้ เบอร์ ใหม่ ทำ ได้ ไห รับ 
77,payment/deposit/เช็คสถานะรายการฝาก,0.9159110309492494,ผม จะ เช็ค ว่า ราย การ ปรับ หรือ ยัง ตรง ไหน ครับ 
78,bet/lottery/ขั้นต่ำการเดิมพันหวย,0.5714464616095206,แทง หวย สูง สุด กี่ บาท 
79,bet/sportsbook/กติการการเดิมพันหมวดเกมส์จำลอง,1.1529968297492859,จะ แทง บอล เอ นิ เม ชั่น แทง ยังไง 
80,bet/sportsbook/ระบบแลกเงินสด,1.1189936264945661,มัน มี ปุ่ม คำ ว่า cashout คือ อะไร ครับ 
81,account/email/ไม่ได้รับอีเมลตั้งค่ารหัสผ่านใหม่,0.8525365276358307,จะ ส่ง รหัส ผ่าน ใหม่ มา ทาง ไหน ค่ะ 
82,bet/sportsbook/ยอดเงินบัญชีกีฬาไม่ถูกต้อง,1.179978498261188,ทำไม มัน บอก ว่าย อด เงิน ผม ไม่ พอ ผม เพิ่ง เติม เงิน นะ 
83,payment/deposit/online/การฝากแบบ Fast Baht,1.0441980210406208,มี ช่อง ทาง อื่น ให้ ฝาก ไหม ครับ 
84,website/เว็บไซต์,1.0113864312223586,เว็บ Fun88 
85,payment/deposit/localbank/ฝากเงินโดยใช่บัญชีบุคคลอื่น,1.0584941469291695,ทำ ไง ยอด ไม่ ปรับ ใช้ บัญชี พ่อ 
86,fund  transfer/วิธีการโอนเงิน,1.2226487425783867,ย้าน เงิน ยังไง อ่ะ
87,account/phone/โค้ด SMS ยืนยันหมดอายุ,0.797685713217773,ทำไม รหัส ยืน ยัน เอ ส เอม เอ ส หมด อายุ ครับ 
88,payment/withdrawal/ยอดถอนขั้นต่ำและสูงสุด,1.1092512113756536,ถ้า ผม จะ ถอน เงิน ทั้ง หมด ที่ มี ใน บัญชี ได้ ไหม ครับ 
89,account/password/บัญชี - รหัสผ่าน,1.1819584661128606,password 
90,payment/withdrawal/คำนวณยอดหมุนเวียนการถอนอย่างไร,1.2482705866287043,เงิน ไม่ เข้า เลย จร้า 
91,fund  transfer/ยอดเงินโอนหาย,1.038960916040364,โอน เงิน แล้ ส ยอด อยุ่ ไหน 
92,account/email/ยืนยันอีเมล,1.2800814233409326,ไม่ แน่ ใจ อีเมล ถูก บล๊อ ครึ เปล่า 
93,account/email/บัญชี - อีเมล,1.1328450532143868,อีเมล ล์
94,reward/ข้อมูลทั่วไปเกี่ยวกับรีวอร์ด,1.1451520086290434,เมื่อ ไร ผม จะ ได เป็น วี ไอ พี สัก ที เล่น เยอะ ขนาด นี้ 
95,payment/withdrawal/ไม่สามารถแจ้งถอนได้,1.0590491664526778,มี เงิน แต่ ถอน ไม่ ได้ ติด อะไร 
96,account/email/ไม่ได้รับอีเมลการยืนยัน,1.0778000885362349,กล่อง ขา เข้า ไม่ เห็น ได้ รับ เลย ค่ะ 
97,promotions/reload/โปรโมชั่นเงินเพิ่ม,1.1374930911758376,แต่ ไม่ เห็น ครับ 
98,payment/deposit/localbank/ฝากเงินเข้าบัญชีที่ปิดให้บริการ,1.1874365561688618,หา บัญชี ไม่ เจอ 
99,website/ตรวจสอบข่าวประกาศ/การปิดปรับปรุงระบบ,1.2000294178029094,เปิด ใช้ งาน ได้ หรือ ยัง 
100,account/email/ลิ้งที่ได้รับจากอีเมลไม่สามารถเปิดได้,0.7620066677127113,ยืน ยัน ไม ได้ ขึ้น ว่า การ ตรวจ สอบ ล้ม เหลว ทำ ไง 
101,reward/วิธีการเป็นสมาชิกวีไอพี,1.1039056163275653,ถ้า อยาก เป็น VIP ต้อง มี เงื่อน ไข อะไร บ้าง ค่ะ 
102,account/phone/ไม่ได้รับโค้ดยืนยันทาง SMS,0.9688810507814487,เอ ส เอม เอ ส ต้อง รอ นาน แค่ ไหน ครับ 
103,fund  transfer/ถอนยอดเงินจากเกมส์ที่เล่นหมุนฟรีไม่ได้,0.9137621337180792,จะ ถอน เงิน ที่ เล่น ได้ ทำ ไง อ่ะ
104,payment/withdrawal/เข้าหน้าการถอนไม่ได้,0.8780958179830674,บล็อก ไม่ ให้ ผม ถอน หรอ ทำไม เข้า ไม่ ได้ 
105,bet/sportsbook/เข้าหน้ากีฬาไม่ได้,1.264508646203275,เข้า หนี้ ฬา ยังไง 
106,account/ยูสเซอร์เนมซ้ำ,1.2804838418711604,รบ กวน ปิด ยูส นี้ ค่ะ แล้ว เปิด ยูส นี้ ค่ะ 
107,bet/lottery/ผลหวย,1.2279603347234078,เลข ที่ ออก คือ เลข อะไร 
108,payment/withdrawal/รายการถอนยังอยู่ในระหว่างดำเนินการ,1.0922175258715534,ผม ถอน เงิน ไป ได้ สัก พัก แล้ว ตรวจ สอบ ให้ ที ครับ 
109,payment/withdrawal/ระยะเวลาการถอนเงิน,1.2600395712742134,การ เงิน คุณ ทำ ไร อยู่ ช้า มาก 
110,account/ข้อมููลบัญชี,1.2214058178593181,บัญชี 
111,promotions/freespin/หมุนสล็อตฟรีจากการแลกแต้มรีวอร์ด,1.1255341747215586,หมุน เกม ไหน 
112,promotion/โบนัสช่วยเหลือ,0.5,
113,payment/deposit/online/ขั้้นตอนการทำรายการฝากอีซี่เพย์,1.2991575734838907,ฝาก แล้ว แบบ Easy Pay ทำ ไง ต่อ 
114,payment/withdrawal/ตรวจสอบสถานะการถอนเงิน,1.1679110255368819,ผม ทำ รา ยา รถ อน ถูก ไหม ดู ให้ หน่อย 
115,account/password/ลืมรหัสผ่าน,1.2923894404978584,ยูเซอ ร นี้ ยัง ไช้ ได้ อยู่ ป่าว 
116,payment/deposit/localbank/รายการฝากบัญชีภายในประเทศไม่ปรับ,1.1223376885001932,แก้ ไข ไป รอบ นึง แล้ว ปรับ ให้ ได้ ยัง 
117,account/password/เปลี่ยนรหัสผ่าน,0.880766406989156,เปลี่ยน รหัส ผ่าน ให้ หน่อย กลัว แฟน รู้ 
118,promotions/freebet/โปรโมชั่นวันเกิด - เงินเดิมพันฟรี,0.9529920033337776,วันเกิด แจก อะไร บ้าง 
119,reward/สมาชิกสล็อตระดับพิเศษ,0.5536831934714996,อยาก ได้ สิทธิ พิเศษ ของ สล็อต ต้อง ทำ อย่าง ไร บ้าง ค่ะ 
120,others/เปลี่ยนเบราเซอร์,1.0625325893776782,เบ้า เซ้อ คือ อะไร 
121,promotions/freebet/โปรโมชั่นสำหรับสมาชิกใหม่ - ฝากเงินครั้งแรก,1.2491194682256563,ฝาก ครั้ง แรก 
122,account/email/ลิ้งที่ได้รับจากอีเมลไม่สามารถใช้งานได้,0.9169082835473286,ขอ ลิ๊ง ใหม่ ได้ ไหม ที่ ได้ มา เข้า ไม่ ได้ 
123,others/ผู้สนับสนุนหลัก,1.1412779827365642,ฮ็อทสเ ปอ ร์ ได้ รับ อะไร จาก คุณ บ้าง ครับ 
124,bet/sportsbook/เดิมพันกีฬาไม่ได้,1.179978498261188,ทำไม มัน บอก ว่าย อด เงิน ผม ไม่ พอ ผม เพิ่ง เติม เงิน นะ 
125,bet/sportsbook/เงื่อนไขและข้อตกลงการเดิมพัน,0.7906376363389696,ผม อยาก แทง บา ส เงื่อน ไข มัน เป็น ยังไง 
126,bet/slot/เกมส์สล็อตปรับบิลการเดิมพันแล้วแต่ไม่ได้รับเงิน,1.0653543468720041,เงิน หาย สล็อต หาย ครับ 
127,bet/sportsbook/ยอดเดิมพันขั้นต่ำและสูงสุดของกีฬา,1.001327926686747,แทง บอล 10 บาท ได้ ไหม 
128,payment/withdrawal/verification/เอกสารยืนยันชื่อ,0.5704422557789752,ตอน สมัคร ผม พิมพ์ ชื่อ พลาด ไป 1 ตัว อะ ครับ ไม่ รู้ ว่า จะ เป็น อะไร กับ ราย การ ถอน ไหม ครับ 
129,common/ข่มขู่,1.3088172974007397,ประจาน ลง เฟ สนะ 
130,payment/withdrawal/verification/เอกสารยืนยันชื่อนามสกุล,1.0863014815634775,แก้ ไข ข้อ มูล ตอน แจ้ง ถอน ได้ ไหม ค่ะ 
131,bet/ยอดเงินในบัญชีไม่ถูกต้อง,1.231633504261617,ทำไม ยอด เงิน ไม่ ครบ 
132,payment/deposit/ยกเลิกรายการฝาก Fast Baht,0.9559415346814513,บอก ฝาก เงิน เข้า ไป แบบ ฟาส บาท ยอด หัก จาก บัญชี ผม แล้ว แบบ นี้ ยก เลิก ได้ ไหม ครับ พี่ 
133,promotions/freebet/โปรโมชั่นสำหรับสมาชิกใหม่ - โบนัสฝากเงินครั้งที่ 3,1.0287682009741208,มี คนโท ร มาบ อก ว่า ฝาก 3 ครั้ง ได้ รับ เงิน เพิ่ม 
134,payment/deposit/ทำรายการฝากทุกแบบไม่ได้,1.1003905956979811,ผม ฝาก งิน รูป แบบ ไหน ก็ ไม ได้ เลย ครับ 
135,fund  transfer/ยูสเซอร์เนมมียอดเงินแต่ถอนไม่ได้,1.2544504244137094,มัน ขึ้น ว่าย อด เงิน เกิน บัญชี หลัก ค่ะ 
136,payment/deposit/online/Fast Baht /  อีซี่เพย์ ไม่ปรับยอด,1.1567632043747391,เงิน หัก จาก บัญชี แล้ว ไม่ ปรับ เลย เช็ค ด่วน 
137,payment/withdrawal/วิธีกรอกข้อมูลการถอน,1.3881832962936258,เทิน โอ เ วอ ครบ ยัง 
138,bet/การเดิมพันปรับยอดแต่ไม่ได้รับเงิน,1.1645938430134755,ผม เดิม พัน ไป ตั้ง นาน แล้ว ทำไม ยัง ไม ได้ เงิน อีก 
139,website/โปรแกรมดาวน์โหลด,1.2907697653810473,มี เ วอ ร์ชั่น เด สก์ท็อป หรือ เปล่า 
140,payment/deposit/online/การฝากแบบอีซี่เพย์,1.2991575734838907,ฝาก แล้ว แบบ Easy Pay ทำ ไง ต่อ 
141,payment/withdrawal/verification/เอกสารยืนยันตัวตน,0.7618847128948463,ผม เข้า มา ส่ง เอก สาร ยืน ยัน ตัว ตน เพื่อ ขยาย วง เงิน ครับ 
142,account/email/ลืมอีเมล,1.0407460992005162,ใช้ เมล ใหม่ จะแจ้ง ขอ เ ปลี ยน ครับ 
143,account/phone/ลืมเบอร์โทรศัพท์,0.7714177036452862,ผม ลืม ว่า ผม ใช้ เบอร์ ไร สมัคร 
144,bet/วิธีแก้ไขการเดิมพัน,1.1920648150660909,เดิม พัน ผิด ทำ ไง 
145,reward/วิธีการแลกของรางวัล,0.8566464218929508,แลก ของ ราง วัน แล้ว ส่ง ภาย ใน กี่ วัน 
146,account/phone/ยืนยันเบอร์โทรศัพท์,0.7776442787128874,หา ที่ ยืนยันเบอ ร์ ไม่ เจอ ครับ 
147,others/Fun88 แบรนด์แอมบาสเดอร์,0.969977766707413,ร็ อบ บี้ ฟาว เล่อ ร์ กับ สตี ฟ แนช เป็น อะไร กับ Fun88 อ่ะ
148,payment/deposit/ยกเลิกรายการฝากบัญชีภายในประเทศ,0.8131918162627423,ผม กรอก เวลา ผิด ยก เลิก ให้ หน่อย 
149,bet/sportsbook/บิลชนะครึ่ง,1.2864435160091447,ทำไม ผม ได้ เงิน ครึ่ง เดียว 
150,payment/deposit/localbank/การฝากแบบบัญชีภายในประเทศ,1.174616858063945,แอ๊บ มือถือ ฝาก ร้อย สุด เท่าไร 
151,bet/sportsbook/การปรับบิลอีสปอร์ตมีปัญหา,1.0007013824681839,ทำไม ที่ หน้า เว็บ ขึ้น ว่า ปรับ แล้ว 
