,CalllogID,Category,Content,Line,MemberLine,Speaker,content.split,Intent,IntentScore,IntentScoreConfidence,ChatIDLineCount
69,368471,Member,iui443 我的账号 显示有打开的窗口 ,2,1,f23f22,iui443 我 的 账号 显示 有 打开 的 窗口 ,-,0.0,0.0,2
71,368472,Member,现在还有没有500送500的活动 ,2,1,hu5498,现在 还有 没有 500 送 500 的 活动 ,promotion/优惠事宜,20.44,1.0,2
73,368473,Member,有没有彩金可以申领 ,4,2,asd666ww,有没有 彩金 可以 申领 ,promotion/要求免费彩金,33.64,1.0,1
74,368474,Member,存款500 申请送50%的优惠券  账号 cd7899999 ,2,1,cd7899999,存款 500 申请 送 50% 的 优惠 券 账号 cd7899999 ,promotion/sportsbook/体育首存红利,30.2,1.0,2
76,368475,Member,你们公司的工作人员打电话给我，说的有18的彩金会上副账户，喊我等会查询 ,2,1,wxlt667,你们 公司 的 工作人员 打电话 给 我 ， 说 的 有 18 的 彩金 会上 副 账户 ， 喊 我 等 会 查询 ,-,0.0,0.0,2
78,368476,Member,我提款失败，为什么主账户没有给我 ,2,1,tbzyl8888,我 提款 失败 ， 为什么 主账户 没有 给 我 ,fundtransfer/如何进行转账,24.39,1.0,2
80,368477,Member,网站打不开 ,2,1,wzy1984,网站 打 不 开 ,portal/乐天堂备用网址,50.48,3.0,2
82,368478,Member,我提款失败，为什么没有反给我主账户啊， ,2,1,tbzyl8888,我 提款 失败 ， 为什么 没有 反 给 我 主账户 啊 ， ,-,0.0,0.0,1
83,368479,Member,为什么我的红包钱怎么用不了了 ,2,1,198319ww,为什么 我 的 红包 钱 怎么 用 不了 了 ,-,0.0,0.0,2
85,368481,Member,1000送1000 ,2,1,hc0011,1000 送 1000 ,promotion/38APP彩金,31.53,1.0,2
87,368483,Member,怎么养更改绑定的手机号码 ,2,1,hgj100200,怎么 养 更改 绑定 的 手机号 码 ,account/phone/如何更换电话号码？,31.77,1.0,2
89,368484,Member,微信转账怎么转？ ,2,1,198319ww,微信 转账 怎么 转 ？ ,payment/deposit/wechat/微信转账存款,53.94,3.0,2
91,368485,Member,我提款提不出来 需要我验证手机号我原来登记的号码丢失了 怎么办 ,4,2,tblpj0223,我 提款 提 不 出来 需要 我 验证 手机号 我 原来 登记 的 号码 丢失 了 怎么办 ,-,0.0,0.0,1
92,368486,Member,我忘了我的登录密码怎么办  谢谢 ,2,1,1314520hui,我 忘 了 我 的 登录 密码 怎么办 谢谢 ,account/password/忘记密码,33.48,1.0,2
94,368487,Member,进不了游戏 ,2,1,yyyy7777,进 不了 游戏 ,payment/withdrawal/无法登入提款页面,20.95,1.0,2
96,368488,Member,你好  我刚刚找了一下说我账户都错了  我好久没玩了简直记不住了怎么办  谢谢 ,2,1,1314hui,你好 我 刚刚 找 了 一下 说 我 账户 都 错 了 我 好久 没 玩 了 简直 记 不住 了 怎么办 谢谢 ,-,0.0,0.0,2
98,368489,Member,我想问问为什么沙巴体育开的波胆倍数比其他盘口低那么多 ,2,1,tbwangpei2,我 想 问问 为什么 沙巴 体育 开 的 波 胆 倍数 比 其他 盘 口 低 那么 多 ,-,0.0,0.0,2
100,368490,Member,为什么我23点17存的100元，我12点过后打的，为什么输了救援金都领不到呢 ,2,1,tb78529872,为什么 我 23 点 17 存 的 100 元 ， 我 12 点 过后 打 的 ， 为什么 输 了 救援金 都 领 不到 呢 ,-,0.0,0.0,2
102,368491,Member,积分是怎么换了 ,2,1,tb189817,积分 是 怎么 换 了 ,-,0.0,0.0,2
104,368492,Member,李淑惠 1971 1 18 电话15882131147 邮箱2492243463@qq.com ,2,1,1314hui,李 淑 惠 1971 1 18 电话 15882131147 邮箱 2492243463@qq . com ,-,0.0,0.0,2
106,368493,Visitor,a5776405 申请500+500卷 ,2,1,电话发,a5776405 申请 500+500 卷 ,-,0.0,0.0,1
107,368494,Member,不小心游戏锁了请解开 ,2,1,QQ199232,不小 心 游戏 锁 了 请 解开 ,-,0.0,0.0,2
109,368496,Member,我的邮箱收到信息说注册送彩金. ,2,1,a662335,我 的 邮箱 收到 信息 说 注册 送 彩金 . ,promotion/注册彩金,38.2,2.0,2
111,368497,Member,账号收不到验证码 ,4,2,dong15689,账号 收 不到 验证 码 ,account/phone/无法收到乐天堂发出的手机验证码,43.43,2.0,1
112,368498,Member,我28号 有存款 没到账 ,2,1,tbdacaili888,我 28 号 有 存款 没 到 账 ,payment/deposit/为何存款尚未到账,36.36,2.0,2
114,368500,Member,app抢红包现在活动没有了吗 ,2,1,shuxin57777,app 抢 红包 现在 活动 没有 了 吗 ,promotion/38APP彩金,21.81,1.0,1
115,368501,Member,是 ,3,1,huang2707,是 ,-,0.0,0.0,1
116,368502,Member,meier12可以申请500+500吗 ,2,1,meier12,meier12 可以 申请 500+500 吗 ,promotion/38APP彩金,23.63,1.0,2
118,368503,Visitor,cba389申请 500+500卷 ,2,1,电话发,cba389 申请 500+500 卷 ,-,0.0,0.0,1
119,368504,Member,我刚注册的，资料已提交成功，怎么没有体验金呢 ,2,1,ly9542,我 刚 注册 的 ， 资料 已 提交 成功 ， 怎么 没有 体验 金 呢 ,promotion/注册彩金,20.94,1.0,2
121,368505,Member,申请 500+500 ,2,1,c19780424c,申请 500+500 ,promotion/38APP彩金,26.91,1.0,2
123,368506,Member,请刷新一下后台 ,2,1,mg618618,请 刷新 一下 后台 ,-,0.0,0.0,2
125,368507,Member,申请存500送500优惠卷 ,2,1,gj5200,申请 存 500 送 500 优惠 卷 ,-,0.0,0.0,2
127,368508,Member,怎么下载pt电脑客服端 ,2,1,tbaaa6352431,怎么 下载 pt 电脑 客 服 端 ,-,0.0,0.0,2
129,368509,Member,我手机怎么显示验证码啊 ,2,1,tbanan1010,我 手机 怎么 显示 验证 码 啊 ,account/phone/无法收到乐天堂发出的手机验证码,44.26,2.0,2
131,368510,Member,窗口没关 进不去游戏了 客服协助一下 ,2,1,itb371333,窗口 没 关 进 不 去 游戏 了 客 服 协助 一下 ,-,0.0,0.0,2
133,368511,Member,怎么转账两个多小时还没到 ,2,1,q4040669280,怎么 转账 两个 多 小时 还 没 到 ,-,0.0,0.0,2
135,368512,Visitor,cba389申请500+250 ,2,1,电话发,cba389 申请 500+250 ,promotion/38APP彩金,26.91,1.0,2
137,368513,Member,提款  怎么显示  失败  而且钱还没了 ,2,1,lidafu520,提款 怎么 显示 失败 而且 钱 还 没 了 ,-,0.0,0.0,2
139,368514,Member,我刚存款没有到账 ,2,1,chenna121,我 刚 存款 没有 到 账 ,payment/没有到账,34.48,1.0,2
141,368515,Member,我微信充值成功没到账 ,3,2,wang1360q,我 微信 充值 成功 没 到 账 ,payment/deposit/wechat/微信转账存款,39.83,2.0,1
142,368516,Member,副账户是什么意思？ ,2,1,tblesjx1,副 账户 是 什么 意思 ？ ,-,0.0,0.0,2
144,368517,Member,给我发个链接 ,2,1,tbanan1010,给 我 发 个 链接 ,portal/乐天堂电脑版网址,33.84,1.0,2
146,368518,Member,怎么还没到转账 ,2,1,q404669280,怎么 还 没 到 转账 ,payment/deposit/为何存款尚未到账,29.99,1.0,2
148,368519,Member,我取款怎么失败了？ ,2,1,zh825,我 提款 怎么 失败 了 ？ ,payment/withdrawal/提款申请失败,64.3,4.0,2
150,368520,Member,充多少送多少是哪个？ ,4,2,weishuai,充 多少 送 多少 是 哪个 ？ ,-,0.0,0.0,1
151,368521,Member,支付宝转微信未到账 ,2,1,naomi9799,支付宝 转 微信 未 到 账 ,payment/deposit/localbank/本银/支付宝存款申请超过30分钟仍然还没有到账,31.2,1.0,2
153,368522,Member,申请 500+500 ,2,1,zjy823424,申请 500+500 ,promotion/38APP彩金,26.91,1.0,2
155,368524,Member,亲？我是vip现在 ,2,1,hyc1979,亲 ？ 我 是 vip 现在 ,promotion/可以申请成为VIP会员吗？,37.48,2.0,2
157,368526,Member,没到账 ,2,1,wang1360q,没 到 账 ,payment/没有到账,61.5,4.0,2
159,368527,Member,存款怎么没有优惠了 ,2,1,tbgly518,存款 怎么 没有 优惠 了 ,promotion/没有存款优惠活动？,61.53,4.0,2
161,368528,Member,注册存1000送300吗 ,2,1,1,注册 存 1000 送 300 吗 ,promotion/注册彩金,44.28,2.0,1
162,368529,Member,怎么我存款还不到 ,2,1,lixiang520,怎么 我 存款 还 不到 ,payment/deposit/为何存款尚未到账,65.28,4.0,2
164,368530,Member,在 访客传送了一个文件：136E37E1-67AD-47ED-8074-AB2D41C0F6B9.png ,2,1,wang1360q,在 访客 传送 了 一个 文件 ：136E37E1-67AD-47ED-8074-AB2D41C0F6B9 . png ,-,0.0,0.0,2
166,368531,Member,你们是不是也太过分了 ,2,1,leige1218,你们 是不是 也 太 过分 了 ,-,0.0,0.0,2
168,368532,Member,你好。反水优惠的钱可以直接提款吗 ,2,1,sdynss,你好 。 反水 优惠 的 钱 可以 直接 提款 吗 ,-,0.0,0.0,2
170,368534,Member,我存款还没到账啊  ,2,1,asdd77,我 存款 还 没 到 账 啊 ,payment/deposit/为何存款尚未到账,78.42,5.0,2
172,368535,Member,你好我刚刚通过微信转账100怎么没有呀 ,2,1,wanghui2,你好 我 刚刚 通过 微信 转账 100 怎么 没有 呀 ,payment/deposit/wechat/微信转账存款,35.54,2.0,2
174,368536,Member,aa18888   解冻 ,2,1,aa18888,aa18888 解冻 ,-,0.0,0.0,2
176,368537,Member,领取28 ,2,1,ht5560290,领取 28 ,promotion/优惠事宜,34.5,1.0,2
178,368538,Member,存款没到 ,2,1,lixiang520,存款 没 到 ,payment/deposit/为何存款尚未到账,48.14,2.0,2
180,368539,Member,账号解锁     gong1314 ,2,1,gong1314,账号 解 锁 gong1314 ,account/用户名或密码无效？超过尝试限制,36.02,2.0,2
182,368540,Member,亲，我账号密码输入错误好几次  被锁上了，我手机号不用了，我只能通过邮箱找回，可是我没有收到你们发送的邮件啊，你们能不能帮帮忙， ,2,1,yong56789,亲 ， 我 账号 密码 输入 错误 好几 次 被 锁上 了 ， 我 手机号 不用 了 ， 我 只能 通过 邮箱 找回 ， 可是 我 没有 收到 你们 发送 的 邮件 啊 ， 你们 能 不能 帮帮忙 ， ,-,0.0,0.0,2
184,368541,Member,提示我获得七星优惠是怎么的？ ,2,1,zqh777,提示 我 获得 七星 优惠 是 怎么 的 ？ ,-,0.0,0.0,2
186,368542,Member,我的提款退回是啥意思 ,2,1,yangbo111,我 的 提款 退回 是 啥 意思 ,-,0.0,0.0,2
188,368543,Member,你好我刚刚微信转账到银行卡成功了 怎么没有分  访客传送了一个文件：Screenshot_2018-07-01-03-53-37-85.png ,2,1,wanghui2,你好 我 刚刚 微信 转账 到 银行卡 成功 了 怎么 没有 分 访客 传送 了 一个 文件 ：screenshot_2018-07-01-03-53-37-85 . png ,payment/deposit/wechat/微信转账存款,22.95,1.0,2
190,368544,Member,账号重置不了密码、 ,2,1,huangqiang,账号 重置 不了 密码 、 ,account/password/如何重置账号密码,34.34,1.0,2
192,368545,Member,怎么换积分 ,2,1,a113998999,怎么 换 积分 ,-,0.0,0.0,2
194,368547,Member,我申请救助金  然后里面有个红利  请问红利干什么用的 ,2,1,chenhao3,我 申请 救助 金 然后 里面 有 个 红利 请问 红利 干什么 用 的 ,-,0.0,0.0,2
196,368548,Member,体验卡28 访客已离开聊天。 聊天结束。 (04:03:02) ,2,1,vip18818,体验 卡 28 访客 已 离开 聊天 。 聊天 结束 。 (04:03:02) ,-,0.0,0.0,1
197,368549,Member,我用微信能充钱吗？ ,4,2,TByy985985,我 用 微信 能 充 钱 吗 ？ ,payment/deposit/wechat/微信转账存款,44.61,2.0,1
198,368550,Member,开户礼金领 ,2,1,13688cxl,开户 礼金 领 ,-,0.0,0.0,2
200,368551,Member,积分在哪里看 ,2,1,Leaernan2014,积分 在 哪里 看 ,bet/查询投注记录,21.52,1.0,2
202,368552,Member,什么积分换？ ,2,1,rong1987,什么 积分 换 ？ ,-,0.0,0.0,2
204,368553,Member,注册体验金28 ,2,1,vip18818,注册 体验 金 28 ,promotion/注册彩金,34.87,1.0,2
206,368554,Member,申请存款五百送五百 ,2,1,www ,申请 存款 五百 送 五百 ,promotion/38APP彩金,34.59,1.0,2
208,368555,Member,你好，我忘记账号了，我叫罗建伟，银行账号6222020502023594158 ,2,1,0,你好 ， 我 忘记 账号 了 ， 我 叫 罗 建 伟 ， 银行 账号 6222020502023594158 ,account/忘记用户名,22.94,1.0,2
210,368556,Member,我的存款怎么还没到账呢？ ,4,2,lzycaz00,我 的 存款 怎么 还 没 到 账 呢 ？ ,payment/deposit/为何存款尚未到账,65.41,4.0,1
211,368557,Member,你好 怎么我提款不得行呀  ,2,1,wanghui2,你好 怎么 我 提款 不得 行 呀 ,-,0.0,0.0,2
213,368558,Member,申请pt积分兑换好礼 ,2,1,tbn8n8n88,申请 pt 积分 兑换 好 礼 ,-,0.0,0.0,2
215,368559,Member,你好  我忘记账号了 ,2,1,huangqiang,你好 我 忘记 账号 了 ,account/忘记用户名,49.26,2.0,2
217,368560,Member,我记不得我的账户信息了 ,2,1,jq723,我 记 不得 我 的 账户 信息 了 ,-,0.0,0.0,2
219,368561,Member,你好，我想查一下我的账户 ,2,1,jq723,你好 ， 我 想 查 一下 我 的 账户 ,-,0.0,0.0,2
221,368562,Member,500送500 ,2,1,lyh82810,500 送 500 ,promotion/38APP彩金,31.53,1.0,2
223,368563,Member,我怎么提款失败 ,4,2,tbdan8261,我 怎么 提款 失败 ,payment/withdrawal/提款申请失败,60.96,4.0,1
224,368564,Member,你好请问我刚刚转账300到主账号怎么钱不再了呀  ,2,1,wanghui2,你好 请问 我 刚刚 转账 300 到 主 账号 怎么 钱 不再 了 呀 ,-,0.0,0.0,2
226,368565,Member,申请500+500 ,2,1,23,申请 500+500 ,promotion/38APP彩金,26.91,1.0,2
228,368566,Member,换账号了我不知道又存到之前的账号了 访客传送了一个文件：Screenshot_20180701_043635.jpg ,4,2,weishuai,换 账号 了 我 不知 道 又 存 到 之前 的 账号 了 访客 传送 了 一个 文件 ：Screenshot_20180701_043635 . jpg ,-,0.0,0.0,1
229,368568,Member,我的密码忘记 ,2,1,1,我 的 密码 忘记 ,account/password/忘记密码,69.48,4.0,2
231,368569,Member,你们平台太黑了输那么多钱输一两万的时候多从来都是赢过一两万的、哪怕就是下了都是输、而且我是下了立马都输进去还会倒输大节、你们赢你的钱但是总得让我赢一回吧……真的没有一点兴趣打你们平台游戏、弄得自己瓜兮兮的、 ,2,1,ZHM1354787,你们 平台 太 黑 了 输 那么 多 钱 输 一两万 的 时候 多 从来 都 是 赢 过 一两万 的 、 哪怕 就是 下 了 都 是 输 、 而且 我 是 下 了 立马 都 输 进去 还 会 倒 输 大节 、 你们 赢 你 的 钱 但是 总得 让 我 赢 一回 吧 …… 真的 没有 一点 兴趣 打 你们 平台 游戏 、 弄 得 自己 瓜 兮 兮 的 、 ,-,0.0,0.0,2
233,368570,Member,你看看 ,4,2,lzycaz00,你 看看 ,-,0.0,0.0,1
234,368571,Member,怎么我的号等不起了 ,2,1,zengjie1,怎么 我 的 号 等 不 起 了 ,-,0.0,0.0,2
236,368572,Member,你好告诉一下我的密码谢谢tb81525856 ,2,1,1,你好 告诉 一下 我 的 密码 谢谢 tb81525856 ,-,0.0,0.0,2
238,368573,Member,？ ,4,2,c1350326,？ ,-,0.0,0.0,1
239,368574,Member,我手机收到你们发的短信喊我来注册送免费体验金 ,4,2,a474080724,我 手机 收到 你们 发 的 短信 喊 我 来 注册 送 免费 体验 金 ,promotion/注册彩金,21.11,1.0,1
240,368575,Member,我于4点25用支付宝转帐(己到)给孙浩为什么我主账户上没钱 ,2,1,TBa422433,我 于 4 点 25 用 支付宝 转 帐 ( 己 到 ) 给 孙 浩 为什么 我 主账户 上 没 钱 ,fundtransfer/如何进行转账,26.05,1.0,2
242,368576,Member,请问我的游戏怎么一直在登录中进不去 ,2,1,997299ww,请问 我 的 游戏 怎么 一直 在 登录 中 进 不 去 ,-,0.0,0.0,2
244,368577,Member,我微信转了一百五十块，到平安银行  王成的卡上 ,3,2,TByy985985,我 微信 转 了 一百五十 块 ， 到 平安银行 王 成 的 卡 上 ,payment/deposit/wechat/微信转账存款,21.78,1.0,1
245,368578,Member,那个存100送200的活动什么时候开始 ,2,1,lkm1131,那个 存 100 送 200 的 活动 什么 时候 开始 ,-,0.0,0.0,2
247,368579,Member,亲。你好。因为上个月我被拘留了。刚刚登录游戏才看到有红包优惠卷。可是刚刚过期。过了12点 ,2,1,tbmm891118,亲 。 你好 。 因为 上个月 我 被 拘留 了 。 刚刚 登录 游戏 才 看到 有 红包 优惠 卷 。 可是 刚刚 过期 。 过 了 12 点 ,-,0.0,0.0,2
249,368580,Member,我于o4点25转帐(已到帐)给孙浩为什么我主帐户上没钱 ,2,1,TBa422433,我 于 o4 点 25 转 帐 ( 已 到 帐 ) 给 孙 浩 为什么 我 主 帐户 上 没 钱 ,-,0.0,0.0,2
251,368581,Member,请问怎么查 ,2,1,TBa422433,请问 怎么 查 ,-,0.0,0.0,2
253,368582,Member,你好  我注册的生日填错了 可以修改吗 ,2,1,111,你好 我 注册 的 生日 填 错 了 可以 修改 吗 ,-,0.0,0.0,2
255,368583,Member,我申请生日礼金 ,2,1,fei1979,我 申请 生日 礼金 ,promotion/38APP彩金,23.83,1.0,2
257,368584,Member,副帐户中的钱如何转账 ,2,1,1,副 帐户 中 的 钱 如何 转账 ,-,0.0,0.0,2
259,368585,Member,存款没到账 ,2,1,xl850820,存款 没 到 账 ,payment/deposit/为何存款尚未到账,57.65,3.0,2
261,368586,Member,我忘记帐号密码了 、 ,2,1,TB,我 忘记 帐号 密码 了 、 ,account/password/忘记密码,55.9,3.0,2
263,368587,Member,申请500送500 ,2,1,LMH1335012,申请 500 送 500 ,promotion/38APP彩金,39.4,2.0,2
265,368588,Member,处理下我存款支付宝转账 ,2,1,asdd77,处理 下 我 存款 支付宝转账 ,payment/deposit/localbank/没有本银/支付宝存款收款账户， 存入旧账户,27.08,1.0,1
266,368590,Member,每月没有免费筹码么？  ,2,1,xp520521,每月 没有 免费 筹码 么 ？ ,-,0.0,0.0,2
268,368591,Member,我存了款怎么没有到账 ,2,1,625106966y,我 存 了 款 怎么 没有 到 账 ,payment/没有到账,32.64,1.0,2
270,368592,Member,申请存1000送1000优惠卷 ,2,1,gj5200,申请 存 1000 送 1000 优惠 卷 ,-,0.0,0.0,2
272,368593,Member,沙巴体育晒图，要单注投100才可以是不  ,2,1,zzzz6521,沙巴 体育 晒 图 ， 要 单 注 投 100 才 可以 是 不 ,-,0.0,0.0,2
274,368594,Member,我现在这个账号里钱转不出来 ,4,2,dong15689,我 现在 这个 账号 里 钱 转 不 出来 ,-,0.0,0.0,1
275,368595,Member,申请体验金 ,2,1,mnbvpoiu,申请 体验 金 ,promotion/注册彩金,32.67,1.0,2
277,368596,Member,沙巴体育晒图，在app圈子里面发了截图就可以了是吧  ,2,1,zzzz6521,沙巴 体育 晒 图 ， 在 app 圈子 里面 发 了 截图 就 可以 了 是 吧 ,-,0.0,0.0,2
279,368597,Member,申请沙巴体育投注保险  ,2,1,zzzz6521,申请 沙巴 体育 投注 保险 ,promotion/38APP彩金,21.05,1.0,2
281,368598,Visitor,我没注册过你们的网站，我现在想注册个帐号，你们的网站都有什么优惠 ,2,1,无,我 没 注册 过 你们 的 网站 ， 我 现在 想 注册 个 帐号 ， 你们 的 网站 都 有 什么 优惠 ,-,0.0,0.0,2
283,368599,Member,积分在哪里查询 ,2,1,wl1977,积分 在 哪里 查询 ,payment/deposit/存款申请状态,22.29,1.0,2
285,368600,Visitor,3303555申请存500送250 ,2,1,铲草除根,3303555 申请 存 500 送 250 ,promotion/38APP彩金,31.96,1.0,1
286,368601,Member,二十九号我存款二百怎会没通关奖 ,2,1,l x l 1967,二十九 号 我 存款 二百 怎 会 没 通关 奖 ,-,0.0,0.0,2
288,368602,Member,我怎么不能提款啊？ ,2,1,tbdx100316,我 怎么 不能 提款 啊 ？ ,payment/withdrawal/提款,40.07,2.0,2
290,368603,Member,你们电脑网站现在是什么 ,2,1,wo8323168,你们 电脑 网站 现在 是 什么 ,portal/乐天堂备用网址,26.85,1.0,1
291,368604,Member,手机收到短信金运转云88-28彩金 ,4,2,lijinhua,手机 收到 短信 金 运转 云 88-28 彩金 ,-,0.0,0.0,1
292,368605,Member,帐户被锁定 ,2,1,tbtang588,帐户 被 锁定 ,-,0.0,0.0,2
294,368606,Member,我的账号封了 ,2,1,tbxyd518,我 的 账号 封 了 ,-,0.0,0.0,2
296,368607,Member,tbliujj678 账号锁了解锁 ,2,1,liujj678,tbliujj678 账号 锁 了解 锁 ,account/用户名或密码无效？超过尝试限制,23.0,1.0,1
297,368608,Member,我的账号锁了 ,2,1,qq8903,我 的 账号 锁 了 ,account/用户名或密码无效？超过尝试限制,36.28,2.0,2
299,368609,Member,20送20怎么申请 ,2,1,hh1981,20 送 20 怎么 申请 ,promotion/38APP彩金,39.55,2.0,2
301,368610,Member,帮我申请存送优惠券 ,2,1,tb1388ww,帮 我 申请 存 送 优惠 券 ,promotion/38APP彩金,40.66,2.0,2
303,368611,Member,账号锁了 ,2,1,qq8903,账号 锁 了 ,account/用户名或密码无效？超过尝试限制,36.11,2.0,2
305,368612,Member,存2000送2000还需要申请吗 ,2,1,tbmama66666,存 2000 送 2000 还 需要 申请 吗 ,promotion/38APP彩金,22.92,1.0,2
307,368613,Visitor,aavip188申请存500送500卷 ,2,1,铲草除根,aavip188 申请 存 500 送 500 卷 ,-,0.0,0.0,1
308,368614,Member,存款没有到账 ,2,1,chenna121,存款 没有 到 账 ,payment/没有到账,52.36,3.0,2
310,368615,Member,存2000送2000的怎么存 ,2,1,tbmama66666,存 2000 送 2000 的 怎么 存 ,-,0.0,0.0,2
