IntentIndex,Category,Intent,Intent ID,Brand,Lang,TextLength,Text,TextSegmented
7,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,fun88,th,7,ตั้งค่า,ตั้ง ค่า 
8,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,fun88,th,14,ตั้งค่าส่วนตัว,ตั้ง ค่า ส่วน ตัว 
1,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,21,ทำไมเข้าสู่ระบบไม่ได้,ทำไม เข้า สู่ ระบบ ไม่ ได้ 
2,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,16,ยุสเซอร์ถูกระงับ,ยุสเซอร์ ถูก ระงับ 
3,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,14,เข้าระบบไม่ได้,เข้า ระบบ ไม่ ได้ 
4,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,21,ทำไมยูสเซอพี่โดนระงับ,ทำไม ยูส เซ อ พี่ โดน ระงับ 
5,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,23,ทำไมบันชีถูกระงับอะครับ,ทำไม บันชี ถูก ระงับ อะ ครับ 
6,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,26,ยูเซอโดนระงับ เพราะอะไรค่ะ,ยูเซอ โดน ระงับ เพราะ อะไร ค่ะ 
7,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,23,Mana29เข้าเล่นไม้ได้คับ,Mana29 เข้า เล่น ไม้ ได้ ครับ 
8,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,12,ไอดีโดนระงับ,ไอดี โดน ระงับ 
9,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,22,สมัครไว้แล้วเข้าไม่ได้,สมัคร ไว้ แล้ว เข้า ไม่ ได้ 
10,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,38,ผมจะเลิกเล่นตั้งแต่วันนี้ไป รบกวนลบยูส,ผม จะ เลิก เล่น ตั้ง แต่ วัน นี้ ไป รบ กวน ลบ ยูส 
11,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,40,ยูสเซอร์เนมโดนระงับ ทำอย่างไรได้บ้างครับ,ยูสเซอร์ เนม โดน ระงับ ทำ อย่าง ไร ได้ บ้าง ครับ 
12,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,19,ต้องการปิดบัญชีครับ,ต้องการ ปิด บัญชี ครับ 
13,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,28,พี่ครับยูสเชอร์ผมโดนบ็อคครับ,พี่ ครับ ยูส เชอ ร์ ผม โดน บ็อค ครับ 
14,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,13,ยูสเชอโดนลงับ,ยูส เชอ โดน ล งับ 
15,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,17,ทำไมเข้าเกมไม่ได้,ทำไม เข้า เกม ไม่ ได้ 
16,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,32,รบกวนปิดยอดบัญชีให้หน่อยได้ไหมคะ,รบ กวน ปิด ยอด บัญชี ให้ หน่อย ได้ ไหม ค่ะ 
17,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,21,ปิดบัญชีนี้ได้ป่ะครับ,ปิด บัญชี นี้ ได้ ป่ะ ครับ 
18,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,35,รบกวน ลบยูชเซอที่ไม่ใช้งานได้ไหมคับ,รบ กวน ลบ ยู ช เซ อ ที่ ไม่ ใช้ งาน ได้ ไหม ครับ 
19,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,13,user โดนระงับ,user โดน ระงับ 
20,account,บัญชีถูกปิด,account/บัญชีถูกปิด,fun88,th,31,ทำไมไอดีผมถูกระงับใช้งานหรอครับ,ทำไม ไอดี ผม ถูก ระงับ ใช้ งาน หรอ ครับ 
1,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,26,ยกเลิกการตั้งค่าว่วนตัวค่ะ,ยก เลิก การ ตั้ง ค่า ว่ วน ตัว ค่ะ 
2,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,35,ต้องการยกเลิกระงับการใช้งานชั่วคราว,ต้องการ ยก เลิก ระงับ การ ใช้ งาน ชั่ว คราว 
3,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,20,ขอปลดล๊อคเกมได้ไหมคะ,ขอ ปลด ล๊อค เกม ได้ ไหม ค่ะ 
4,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,21,ขอเปิดใช้บัญชีปกติคับ,ขอ เปิด ใช้ บัญชี ปกติ ครับ 
5,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,44,เคย ระงับยูสถาวร..สามารถเปิดใช้ยูสเดิมได้ไม๊,เคย ระงับ ยูส ถาวร .. สามารถ เปิด ใช้ ยูส เดิม ได้ ไม๊
6,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,16,ยกเลิกบัญชี่ครับ,ยก เลิก บัญ ชี่ ครับ 
7,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,25,ตั้งปืดการเดิมพันถาวอนไว้,ตั้ง ปืด การ เดิม พัน ถา วอน ไว้ 
8,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,22,ยกเลิกควบคุมกานเดิมพัน,ยก เลิก ควบ คุม กาน เดิม พัน 
9,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,20,ปิดตั้งค่าการเดิมพัน,ปิด ตั้ง ค่า การ เดิม พัน 
10,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,38,ผมสามารถควบคุมการเดิมพันของผมได้ไหมคับ,ผม สามารถ ควบ คุม การ เดิม พัน ของ ผม ได้ ไหม ครับ 
11,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,47,เปลี่ยนเงินเดิมพันสูงสุดในการจำกัดวงเงินเดิมพัน,เปลี่ยน เงิน เดิม พัน สูง สุด ใน การ จำกัด วง เงิน เดิม พัน 
12,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,33,ถ้าจะยกเลิกปิดถาวรต้องทำยังไงครับ,ถ้า จะ ยก เลิก ปิด ถาวร ต้อง ทำ ยังไง ครับ 
13,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,56,ได้เข้าไปปิดใช้งาน90วันแล้วถ้าอยากเปิดใช้งานตอนนี้ทำไงคะ,ได้ เข้า ไป ปิด ใช้ งาน 90 วัน แล้ว ถ้า อยาก เปิด ใช้ งาน ตอน นี้ ทำ ไง ค่ะ 
14,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,13,ขอปลดล๊ออคค่ะ,ขอ ปลด ล๊ ออ ค ค่ะ 
15,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,44,แก้ไขความเป็นส่วนตัวในการโอนเงินให้หน่อยครับ,แก้ ไข ความ เป็น ส่วน ตัว ใน การ โอน เงิน ให้ หน่อย ครับ 
16,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,18,เปิดใช้บันชีนี้คับ,เปิด ใช้ บันชี นี้ ครับ 
17,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,35,รบกวนยกเลิกการระงับบัญชีแบบถาวรครับ,รบ กวน ยก เลิก การ ระงับ บัญชี แบบ ถาวร ครับ 
18,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,27,แจ้งยกเลิกการระงับยูสเซอค่ะ,แจ้ง ยก เลิก การ ระงับ ยูส เซ อ ค่ะ 
19,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,24,บันชีล๊อครบกวนปลดลอคทีคะ,บันชี ล๊อ ครบ กวน ปลด ลอค ที ค่ะ 
20,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,fun88,th,24,ยกเลิกการระงับวงเงินครับ,ยก เลิก การ ระงับ วง เงิน ครับ 
1,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,14,เข้าระบบไม่ได้,เข้า ระบบ ไม่ ได้ 
2,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,26,เข้าระบบแล้วขึ้นไม่ถูกต้อง,เข้า ระบบ แล้ว ขึ้น ไม่ ถูก ต้อง 
3,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,24,เข้าเว็ปยังไง เข้าไม่ได้,เข้า เว็ป ยังไง เข้า ไม่ ได้ 
4,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,17,ใส่รหัสไม่ถูกทำไง,ใส่ รหัส ไม่ ถูก ทำ ไง 
5,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,22,ทำไง บอกรหัสไม่ถูกต้อง,ทำ ไง บอก รหัส ไม่ ถูก ต้อง 
6,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,19,เข้าแล้ว รหัสไม่ถูก,เข้า แล้ว รหัส ไม่ ถูก 
7,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,17,ลืมรหัสเข้ายุสคับ,ลืม รหัส เข้า ยุ ส ครับ 
8,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,17,ผมเข้าระบบ ไม่ได้,ผม เข้า ระบบ ไม่ ได้ 
9,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,33,ใส่รหัสยุสเซอผิดเกินจำนวนครั้งคับ,ใส่ รหัส ยุ ส เซ อ ผิด เกิน จำนวน ครั้ง ครับ 
10,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,21,ทำไมผมเข้าระบบ ไม่ได้,ทำไม ผม เข้า ระบบ ไม่ ได้ 
11,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,19,ผมลอกอินผิดหลายครัง,ผม ลอก อิน ผิด หลาย ค รัง 
12,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,30,เข้าเกมไม่ได้ใส่รหัสเกินอาะค่ะ,เข้า เกม ไม่ ได้ ใส่ รหัส เกิน อาะ ค่ะ 
13,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,62,ม่สามารถเข้าสู่ระบบบได้เลยค่ะตอนนี้ค่ะรบกวนช่วยตรวจสอบให้ทีนะค,ม่ สามารถ เข้า สู่ ระบบ บ ได้ เลย ค่ะ ตอน นี้ ค่ะ รบ กวน ช่วย ตรวจ สอบ ให้ ที นะ ค
14,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,18,กรอกรหัสผิด ทำไงดี,กรอก รหัส ผิด ทำ ไง ดี 
15,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,30,อันนี้ผมเข้าระบบเกินจำนวนครั้ง,อัน นี้ ผม เข้า ระบบ เกิน จำนวน ครั้ง 
16,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,14,เข้ารหัสไม่ได้,เข้า รหัส ไม่ ได้ 
17,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,21,คุนเข้าบันชีมากเกินไป,คุ น เข้า บันชี มาก เกิน ไป 
18,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,21,ทำไมไอดีนี้เข้าไม่ได้,ทำไม ไอดี นี้ เข้า ไม่ ได้ 
19,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,23,กดรัหสผิดเข้าระบบไม่ได้,กด รัหส ผิด เข้า ระบบ ไม่ ได้ 
20,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,24,ใช้รหัสเดิมแต่เจ้าไม่ได้,ใช้ รหัส เดิม แต่ เจ้า ไม่ ได้ 
21,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,18,กดรหัสผิดหลายครั้ง,กด รหัส ผิด หลาย ครั้ง 
22,account,ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,account/ยูสเซอร์เนม หรือ รหัสผ่านไม่ถูกต้อง,fun88,th,21,เข้ารหัสผ่านไม่ได้คับ,เข้า รหัส ผ่าน ไม่ ได้ ครับ 
1,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,16,ยูสเชอร์ถูกระง้บ,ยูส เชอ ร์ ถูก ระ ง้บ
2,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,13,ยูเซอโดนระงับ,ยูเซอ โดน ระงับ 
3,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,42,ทำการเข้าระบบถูกต้องแล้วทำไหมเข้าไม่ได้คับ,ทำ การ เข้า ระบบ ถูก ต้อง แล้ว ทำ ไหม เข้า ไม่ ได้ ครับ 
4,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,25,ยูซเซอร์ถูกระงับทำไงดีคับ,ยู ซ เซ อร์ ถูก ระงับ ทำ ไง ดี ครับ 
5,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,32,รบกวนปิดยูสนี้คะแล้วเปิดยูสนี้คะ,รบ กวน ปิด ยูส นี้ ค่ะ แล้ว เปิด ยูส นี้ ค่ะ 
6,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,21,ทำไมเข้าระบบไม่ได้ค่ะ,ทำไม เข้า ระบบ ไม่ ได้ ค่ะ 
7,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,20,ยูสเซอรโดนระงับทำงัย,ยูส เซ อร โดน ระงับ ทำ งัย 
8,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,25,ทำไม่รหัสผมถึงโดนระงับคับ,ทำ ไม่ รหัส ผม ถึง โดน ระงับ ครับ 
9,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,12,ยุสผมโดนล๊อก,ยุ ส ผม โดน ล๊อก 
10,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,16,ยูเชอร์ผมโดนล็อก,ยู เชอ ร์ ผม โดน ล็อก 
11,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,21,เข้าระบบไม่ได้อ่ะครับ,เข้า ระบบ ไม่ ได้ อ่ะ ครับ 
12,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,20,ทำไมuser ถูกระงับใช้,ทำไม user ถูก ระงับ ใช้ 
13,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,32,ยุสเชอ.........ทำไมเข้าไม่ได้คับ,ยุ ส เชอ ......... ทำไม เข้า ไม่ ได้ ครับ 
14,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,33,ยูเชอเเนมถูกระงับการใช้งานไงดีคับ,ยู เชอ เ เนม ถูก ระงับ การ ใช้ งาน ไง ดี ครับ 
15,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,21,เปลี่ยนแล้วเข้าไม่ใด้,เปลี่ยน แล้ว เข้า ไม่ ใด้
16,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,14,ถูกระงับได้งัย,ถูก ระงับ ได้ งัย 
17,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,19,มันเข้าไม่ได้อ่ะคับ,มัน เข้า ไม่ ได้ อ่ะ ครับ 
18,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,13,เข้าไม่ได้คับ,เข้า ไม่ ได้ ครับ 
19,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,18,ทำไมเข้าไม่ได้ครับ,ทำไม เข้า ไม่ ได้ ครับ 
20,account,ยูสเซอร์เนมซ้ำ,account/ยูสเซอร์เนมซ้ำ,fun88,th,12,ทำไมถูกระงับ,ทำไม ถูก ระงับ 
1,account,ลบบัญชี,account/ลบบัญชี,fun88,th,16,เลิกเล่น ทำยังไง,เลิก เล่น ทำ ยังไง 
2,account,ลบบัญชี,account/ลบบัญชี,fun88,th,13,ปิดถาวรตรงไหน,ปิด ถาวร ตรง ไหน 
3,account,ลบบัญชี,account/ลบบัญชี,fun88,th,23,ปิดการใช้งานให้หน่อยคับ,ปิด การ ใช้ งาน ให้ หน่อย ครับ 
4,account,ลบบัญชี,account/ลบบัญชี,fun88,th,19,ต้องการปิดการใช้งาน,ต้องการ ปิด การ ใช้ งาน 
5,account,ลบบัญชี,account/ลบบัญชี,fun88,th,16,อยากเลิกเล่นแล้ว,อยาก เลิก เล่น แล้ว 
6,account,ลบบัญชี,account/ลบบัญชี,fun88,th,15,ไม่อยากเล่นแล้ว,ไม่ อยาก เล่น แล้ว 
7,account,ลบบัญชี,account/ลบบัญชี,fun88,th,16,จะไม่เล่นอีกแล้ว,จะ ไม่ เล่น อีก แล้ว 
8,account,ลบบัญชี,account/ลบบัญชี,fun88,th,20,ลบบัญชีผมเลยก็ได้คับ,ลบ บัญชี ผม เลย ก็ ได้ ครับ 
9,account,ลบบัญชี,account/ลบบัญชี,fun88,th,11,ปิดยูสไปเลย,ปิด ยูส ไป เลย 
10,account,ลบบัญชี,account/ลบบัญชี,fun88,th,19,ตั้งค่าปิดยูสตรงไหน,ตั้ง ค่า ปิด ยูส ตรง ไหน 
11,account,ลบบัญชี,account/ลบบัญชี,fun88,th,25,จำกัดการเข้าใช้งานผมทีคับ,จำกัด การ เข้า ใช้ งาน ผม ที ครับ 
12,account,ลบบัญชี,account/ลบบัญชี,fun88,th,14,บล็อก ไปเลยคับ,บล็อก ไป เลย ครับ 
13,account,ลบบัญชี,account/ลบบัญชี,fun88,th,19,ปลด ผมออกจากเว็บเลย,ปลด ผม ออก จาก เว็บ เลย 
14,account,ลบบัญชี,account/ลบบัญชี,fun88,th,28,เอาผมออก สักอาทิตย์ได้ไหมคับ,เอา ผม ออก สัก อาทิตย์ ได้ ไหม ครับ 
15,account,ลบบัญชี,account/ลบบัญชี,fun88,th,28,ไม่เล่นสัก เดือนนึงได้ไหมคับ,ไม่ เล่น สัก เดือน นึง ได้ ไหม ครับ 
16,account,ลบบัญชี,account/ลบบัญชี,fun88,th,11,ปิดผม 7 วัน,ปิด ผม 7 วัน 
17,account,ลบบัญชี,account/ลบบัญชี,fun88,th,30,ให้ผมหยุดเข้าใช้งาน 7 วันนะคับ,ให้ ผม หยุด เข้า ใช้ งาน 7 วัน นะ ครับ 
18,account,ลบบัญชี,account/ลบบัญชี,fun88,th,20,จะหยุดเล่นแบบถาวรคับ,จะ หยุด เล่น แบบ ถาวร ครับ 
1,account,ลืมยูสเซอร์เนม,account/ลืมยูสเซอร์เนม,fun88,th,14,ผมลืมยุยเซอเนม,ผม ลืม ยุ ย เซ อ เนม 
2,account,ลืมยูสเซอร์เนม,account/ลืมยูสเซอร์เนม,fun88,th,22,ผมลืมยูเซอร์กับรกัสตับ,ผม ลืม ยูเซอร์ กับ รกัส ตับ 
3,account,ลืมยูสเซอร์เนม,account/ลืมยูสเซอร์เนม,fun88,th,24,พอดีสมัครแล้วลืมรหัสครับ,พอ ดี สมัคร แล้ว ลืม รหัส ครับ 
4,account,ลืมยูสเซอร์เนม,account/ลืมยูสเซอร์เนม,fun88,th,37,สมัครไปแล้วแต่ลืมยุสกับรหัสผ่านอ่ะค่ะ,สมัคร ไป แล้ว แต่ ลืม ยุ ส กับ รหัส ผ่าน อ่ะ ค่ะ 
