Brand,Lang,Intent Type,Category,Intent,Weight,Answer,Training Data,English,Answer Key
betway,cn,user,Common,提高限额,1,"不好意思，小帮手想知道您是要提高哪方面的限额？
 
<intentlink>存款单日上限</intentlink>
 
<intentlink>提款单日上限</intentlink>
 
<intentlink>提高体育投注额</intentlink>","我可以申请提高限额吗
我可以增加限额吗
提高额度
可以更改限额吗
我想更改额度可以吗
怎么调整额度啊
可以自己操作更改额度的吗
帮我解除一下限额
我要提高限额
快点帮我提高限额
要达到什么条件才能提高限额啊
我是想问怎么可以提高限额
可以帮我提高限额不
怎么提高限额",Maximum Limits,betway.cn.Common
betway,cn,user,Common,无法登入必威页面/体育页面/真人页面/游戏页面,1,"不好意思，除了正常固定的维护时间；如果遇到紧急维护，是无法提供准确维护完毕时间，但是必威会尽己之力，快点解决的，谢谢您耐心等待~~
 
如果不是在维护时间而您还是无法进入相关页面，请先确认您的网路是通畅的。
 
然后可以尝试登入我们的【<intentlink>后备网址</intentlink>】 试试（请先清除缓存，使用不同的浏览器再重启）
 
点击<intentlink>什么是清除缓存</intentlink>进一步了解
 
如果已经完成基本步骤还是不能，请提供错误讯息的截图给【<link>人工客服</link>】处理或查询~~~","体育维护多久
体育维护还没有好吗？
体育要维护多久
体育维护到什么时候
体育在维护？
体育博彩维护吗？
sb体育维护到几点
体育维护到几点
请问体育还没维护好吗
还维护中吗
是不是还在维护
维护好久？
AG维护吗
老虎机维护吗
PT维护吗
真人维护到几点
PT维护到几点
老虎机维护到几点
我的体育怎么进不去了
体育页面不显示
怎么体育打不开
体育上不了
体育又进不去了
为什么一直进不去体育
为什么登录不了必威体育
体育现在玩不了？
怎么体育登录不进去
体育用不了吗？
我点击体育亚洲盘口，无法显示页面
体育卡在登录页面上不去
怎么打不开体育页面？
体育老进不去，怎么回事
体育页面加载不出来
体育无法登入了
体育怎么进不去了
体育维护吗，怎么进不去？
PT进不到
PT不显示
为什么一直进不到PT
PT打开不到
MG打不开
MG加载不出来
老虎机进不去
GD进不去
老虎机页面显示不了
GD加载不到
进不去真人页面",Cannot Enter Webpage,betway.cn.Common
betway,cn,user,Common,查询流水记录,1,"目前小帮手还不能协助您查询流水记录，但是小帮手会在不久的将来协助您这件事的。
 
目前请点选下方【转人工客服】请在线客服协助查询吧！",我想问一下，在哪可以看到我的流水记录,Rebate Check,betway.cn.Common
betway,cn,user,Common,疑惑,1,"是疑惑吗？不明白小帮手的解释？还是小帮手回答不了您的问题？
 
请重新输入【完整】的咨询问题哦，以便小帮手辨识您的咨询；如果小帮手还是没有办法解答您的问题，请点击【<link>转人工客服</link>】，请在线客服协助哦！","？？？
???
？",Doubt,betway.cn.Common
betway,cn,user,Common,答非所问,1,"不好意思，可能小帮手的理解能力有限~ 可否请您重新输入比较明确的问题以便小帮手提供协助呢？
 
例如：哪个游戏平台遇上了什么问题？存款尚未到账，提款可以取消吗？等等，以便小帮手可以针对您的问题给予您有效的解答~","不要答非所问好吗
这个不是我要的答案
都说了我懂你还给我
不是存款，垃圾
不是提款
不是
不对
不是游戏
不是体育
不是账户
这个不对
不是网站
不要给我没有用的
已经很多次",Wrong Answer,betway.cn.Common
betway,cn,user,Common,谢谢,1,"请问目前还有什么其它事宜需要小帮手协助您的吗？
 
如果【有】，请明确的输入您的问题/疑问；
 
如果【没有】，请关闭聊天并为小帮手点点评哦~~ 小帮手会继续努力学习，以便日后可以更好的服务您哦！","谢啦
感激
太感谢
谢谢
谢谢你
好的，谢谢
没了，麻烦了
再见
再见了
没事了，再见
感谢你的帮助
感谢帮助
好了，拜拜
拜拜
掰
88
好
好哦
好的哦
好呀
好的
👌
OK
ok
Ok
嗯
不用了
哦",Thank you,betway.cn.Common
betway,cn,user,Common,限额,1,"请根据您的情况点击以下选项查询：
 
<intentlink>存款限额</intentlink>
 
<intentlink>体育投注金额限制</intentlink>","限额
为什么限额了
为什么有限制
限制我了，不好玩
达到限额是什么意思？
限额了是什么意思
我的帐号怎么限额了
限额了
怎么限额了
被你们限额了",Limits,betway.cn.Common
betway,cn,user,Common,验证,1,"请根据以下选项点选您的情况：
 
<intentlink>通过首次提款验证，但是提款尚未到账？</intentlink>
 
<intentlink>38APP彩金</intentlink>
 
<intentlink>已经验证了， 但是还提示验证？</intentlink>","验证了
都说验证了
验证了啦
我已经验证好了
已经验证了
我验证好了
已经验证好了
我的账户验证好了
验证",Verification,betway.cn.Common
betway,cn,user,Payment,如何填写提款银行资料,1,"【网页版】：  在必威网站登录您的用户名，点击右上方的【银行中心】进一步操作存提款申请。     
 
【手机版】： 登录您的必威用户名，点击手机左上角的【三条横线】，然后点击进入【银行中心】做进一步的存提款申请。
 
【APP】：点击右下角的会员图标， 然后点选【银行资料管理】进行填写
 
 填写步骤：
(1)在【银行中心】里，点选银行资料
(2)根据项目需求填写账户持有人名称（需和您的账号的真实姓名相同哦），银行名称，银行账号，银行所在的区/市/镇/分行,然后提交即可
 
 
您可能有兴趣知道：<intentlink>更换提款银行资料</intentlink>","提款银行资料哪里填
怎么填写银行资料
哪里填提款银行资料
提款怎么绑定银行卡
提款时提示需要绑定银行卡，但是找不到在哪里填写
银行资料去哪里填写呀
要去哪里添加我的提款银行卡
银行中心里的提款页面没有让我填写银行卡的地方啊
我要怎么提款至我的银行账户？
提款到我的账户要怎么做？
想要提款，需要怎么绑定我的提款银行卡？
我想要提款，但是我找不到填写我提款银行的地方啊！！
我要绑定我的卡，需要怎么操作？？
你好，找了好久没有找到在哪里添加我的提款卡，没办法提款啊
你们网站的绑定提款卡的地方在哪里，找了半天没有找到。。。。。
精装版APP怎样绑定银行卡",How to fill in Withdrawal Bank Information?,betway.cn.Payment
betway,cn,user,Payment,如何更换提款银行资料？,1,"如果您想要更换银行卡资料，请根据以下步骤操作哦：
 
（1）您可以点击 <intentlink>移除銀行资料</intentlink> 进行操作
 
（2）然后您在【银行中心】那里添加您新的银行卡资料
 
（3）不要忘了，每次更换银行卡后，都必须重新做首次提款验证呢~~~
 
您可能有兴趣：
 
<intentlink>银行中心在哪里？</intentlink>
 
<intentlink>提款首次验证</intentlink>","你好。更改提款银行卡，在哪里
我刚才提款用了我新的银行卡。
可以更换提款银行卡号嘛
我要换提款银行卡怎么操作
为什么要验证。我又不是第一次提款
我更换了提款银行卡号
取消提款银行资料
换银行资料
取消之前的银行资料
想换提款银行，怎样？
如何换银行号
换银行
更换提款银行资料
提款资料取消
提款的银行资料，想换个，给我取消之前的
修改提款银行卡
怎么更改提款银行卡呢？
我怎么更改提款资料呢
能更改提款银行吗？
现在我要更改提款卡号怎么弄
请问怎么更改提款账户
我可以更换我的银行卡吗
提款账户更换
提款卡是否可以删除
银行卡卡号绑定错误
银行卡邦错了，怎么改
我想更改银行卡
怎么修改银行管理资料
你好，我想更换提现卡号
我想修改我的取款资料",How to update Withdrawal Bank Information?,betway.cn.Payment
betway,cn,regex,Payment,存提款单号,1,"您是想查询存提款状态吗？请点击以下：
 
<intentlink>利用单号查询提款申请状态</intentlink>
 
<intentlink>利用单号查询存款申请状态</intentlink>
 
如果不是的话，小帮手暂时无法辨识数字单号，您可以点击【转人工客服】提供给在线客服协助查询哦~",^([wW]20[12][0-9][0-9]{11}).*,Deposit/Withdrawal TXID,betway.cn.Payment
betway,cn,user,Payment,待处理中,1,"待处理中的情况有以下几种，请根据您的情况点选：
 
<intentlink>本银/支付宝存款申请超过30分钟仍然还没有到账</intentlink>
 
<intentlink>QQ支付/京东支付/在线支付/云闪付已经扣款了，但是还没有到账？</intentlink>
 
<intentlink>提款一直显示处理中</intentlink>","为什么一直待处理中？
待处理中要什么时候解决
待处理好久了，怎么还不到账？
你们财务是不是睡着了，这么久还不处理？？？？
不是秒到吗，怎么还是一直待处理？
我的款一直是待处理的状态，什么时候可以处理我的
艹，都多久了，还是待处理，是不是不打算处理我的了？
你们是不是打算黑了我的资金？？一直不处理是什么意思？
赶紧处理啊！！都快半天了，还不处理我的？
还要等多久？页面显示待处理，完全没有一丝动静啊
我这里钱早就扣走支付成功了，你们迟迟不处理是什么意思？？
帮我查一下是不是出什么问题了，怎么我的存款一直是待处理？
30分钟过去还是待处理的状态，是不是钱少所以不处理啊？
麻烦帮加急处理，都等了1小时了，还是没有处理
一直待处理中，你们究竟是什么意思？？？？？？？
存款待处理",Still Processing,betway.cn.Payment
betway,cn,user,Payment,没有到账,1,"您可以点击以下对应的选项进行查询哦：
 
<intentlink>为何存款尚未到账</intentlink>
 
<intentlink>为何提款不到账</intentlink>","怎么还没到账
怎么一个小时了还没到账
您好还没到账
还没有到账啊
没有到账
还没到账
为什么还不能到账
怎么还没到账了
还没到账呢
怎么还不能到账
怎么我的还没到账
这个到账了么？
到账
怎么没有入款
帮我上账le嘛？
钱怎么还不到账？
退款还没到??
亲爱的我钱没到账
啥时候到账啊老板
说到到帐延迟
我昨晚的提现好像到现在都没到
能帮我查一下什么时候能到账",Didn't Receive Funds,betway.cn.Payment
betway,cn,user,Payment,移除銀行资料,1,"<form><field>真实姓名</field><field>用户账号</field><field>注册邮箱</field><field>生日日期</field><field>生日月份</field><field>生日年份</field><field>电话号码</field><field>安全提问</field><field>安全答案</field></form>
<webhook>http://webhook.gohelp88.com/Member/RemoveBankInformation</webhook>","移除银行资料
取消银行卡
可以帮我取消现在的银行卡资料吗
可以取消银行资料吗
移除卡号
取消银行讯息
银行卡卡号绑定错误",Remove Withdrawal Bank Information,betway.cn.Payment
betway,cn,user,Payment,银行中心在哪里？,1,"【网页版】：
  
在必威网站登录您的用户名，点击右上方的【银行中心】然后就可以作进一步操作存提款申请。 
  
【手机版】：
  
登录您的必威用户名，点击手机左上角的【三条横线】，然后点击进入【银行中心】就会进入存款页面，若要进行提款， 您需要再次点开左上角的三条横线就会看见提款选项~
 
【精装版】：
 
登录后，点选下方小猪图案就会进入存款页面， 点击右下角的会员选项， 然后就可以在列表看见提款选项","请问浏览器的银行中心在哪里点开
存款哪里点
提款哪里点
手机用户如何提现
如何提款，我没找到银行中心按钮
请问手机客户端如何提款
怎样进入提款界面呢？
哪里有提款项
没看到哪里有银行中心
手机页面找不到在哪里提款吗
提款在哪里提啊
提款是在哪里提啊？
请问提现在哪里
你好，提款界面在哪里，我找不到
你好提现在哪里提
充值和提款找不到在哪里啊
提款在哪里
银行中心在哪里
取款功能在哪里？
我怎么没找到提款在哪里
请问在哪里查找提款界面
哪里有银行中心
去哪里找到银行中心这些地方
在哪里选在线存款
在哪里提交存提款
我刚刚用闪付哪里存款
想问下，如果要取款点哪里
在哪里存款?
网页哪里办理存提款
哪里有得存款？
你们的存款键在哪里？我找不到啊
电脑的存款键在哪？
手机存款键在哪？
手机存款键在哪里？
找不到存款键
我要存款在哪里？
APP存款在哪里？
手机网页版存款键
存款页面的选项在哪里，没找到
提款要去哪按？
网页哪里办理存提款？",Bank Center,betway.cn.Payment
betway,cn,user,Payment/Withdrawal,提款,1,"<intentlink>网页哪里办理存提款？</intentlink>
 
<intentlink>账户有钱却显示余额不足？</intentlink>
 
<intentlink>提款首次验证</intentlink>
 
<intentlink>如何计算提款流水</intentlink>
 
<intentlink>提款多久到账？</intentlink>
 
<intentlink>提款金额限制</intentlink>
 
<intentlink>查询提款申请状态</intentlink>","第一次提款怎么弄
第一次做提款大概多久会到呀
你好我第一次提款
第一次做提款
首次提款要多久
第一次取款审核多久一般
新开户注册怎么绑定银行卡
提款需要什么手续和注意事项？
提款流程
如何提款
提款
你好，我如何把余额提到我的银行账户里？
不知道如何提款
我想问下我存款之后如何提现？
手机APP如何提现到银行卡上呢
我想了解下如何提款
请问如何提款
我想问下钱如何取出来
我现在要如何操作才能提款？
您好这边是如何提现的
我问下这个软件如何提款
能否告知我如何提现
我想提款第一次提款
第一次提款怎么操作
第一次提款
第一次提款要多久
怎样提款呢
怎样提款到个人银行卡
怎样提款到银行卡
我想知道在必威提款是怎样的程序？
请问怎样提款
请问一下，怎样才能提钱。
手机端怎样来提款呢
请问提现机制是怎样的
第一次提需要怎样操作
你好，我在请问下提现怎样提呢
提款有什么规定
怎么提款呀亲
好吧，想要提款了
提款限制
不是，我要的是提款不是存款限制
来个提款限制吧
第一次提款要些什么？
不行啊你，提款不是存款
我和你说了，是提款呀，为什么一直给我存款
我要提款，不是存款
出钱，不是进钱
出款，不是进款
提款啊，不是存款
提款啊，给我存款的干啥
银行中心在哪我懂啊，现在是提款有问题
什么无法登入？我是说提款的事情
提款啊，不是登入有问题不好意思哟
新人不知道怎么提现
怎么提现",Withdrawal,betway.cn.Payment/Withdrawal
betway,cn,user,Payment/Withdrawal,为何提款不到账,1,"请您根据以下选项点选符合您的情况进行查询：
 
<intentlink>提款一直显示处理中</intentlink>
 
<intentlink>提款申请失败</intentlink>
 
<intentlink>提款申请成功，但是尚未收到款项</intentlink>","提款到底几点到账
你好。我的提款还没到账。
帮我看看提款到了没
提款还没到账
提现一直不到账什么情况
我的取款怎么还没到账
提款怎么还没到账
为什么我提现的钱还没到帐
我有笔提款还未到账
出款还没到账
我的提款怎么来没到账
提款迟迟不到
提款还没有到账
提款没到
提款不到账
我提的钱为什么还没有到啊
你看看我的提款怎么还没有到账尼？
我提款好久了没到账什么情况
提款怎么还没有成功
我的提款怎么还没处理成功啊
我的提款成功没有啊
我的提款到底什么时候能到
怎么老是提款不成功呀
提款的钱去哪了？
提款怎么还不到账？
提款没收到
都多久了，提款怎还没收到
提款提到那去了
提款又有问题了吗？怎么这么久
一整个早上了，提款都还没处理好吗？
都多久了，提款的账怎么还没出？
提款不是说30分钟吗？为啥还不到账？
提款不是说只要30分钟吗？
进钱这么快，出钱这么慢，要等多久啊？
都一天了，怎么提款还卡着？
提款要处理多久啊？都一整个早上了
提款你们要卡多久啊？
提款有延迟？
你们平台怎么回事啊财务没钱要倒闭了吗
我有一笔提款，怎么2个多小时了还没弄好啊
怎么提款几个钟都没到帐的
这提款为什么那么久还没到？？？
我有一个取款都已经7个小时了
妈的，怎么提现还没到？
怎么提款这么久
为什么取款还不到帐了？
我为什么提不起款",Withdrawal did not receive,betway.cn.Payment/Withdrawal
betway,cn,user,Payment/Withdrawal,利用单号查询提款申请状态,1,"<require-signin>烦请您先登录网站，以方便小助手可以查询您的相关记录</require-signin>
<form title=""请输入提款单号""><field>提款单号</field></form>
<webhook>http://webhook.gohelp88.com/Withdrawal/WithdrawalCheckByID</webhook>","我要查询我的这笔提款
你好，我昨天27号提款1000元，可以帮忙查一下到账没谢谢",Check withdrawal status by TXID,betway.cn.Payment/Withdrawal
betway,cn,user,Payment/Withdrawal,取消提款申请,1,"您可以自行到提款页面点击【取消】按钮进行取消您的提款申请
 
若是没有看见该按钮，代表您的提款已被受理了~
 
若您遇到任何提款取消的问题，可以联系【人工客服】咨询哦~","你好。帮我取消提款
麻烦帮我提款取消下
可以帮我取消提款申请吗
可以帮我把提款取消吗
帮我取消提款可以不
可以把我的提现申请取消了
取消提款可以操作吗
能取消提款吗
提款大概多久到？能否取消提款
你好我刚才有一笔取款申请，我现在想撤销掉，暂时不取
你好，想问下关于提款，我想取消
提款想取消
提款取消
想取消提款，打错了银行号
打错了银行号，要取消提款，快
要取消提款，怎样？
提款，可以先取消吗，还想多打一会
帮我取消提款，可以吗？
帮忙卡下出款
怎么还不到账，帮忙取消提款，去转多几回
我可以取消提款吗
取款取消怎么不行的a",Cancel Withdrawal,betway.cn.Payment/Withdrawal
betway,cn,user,Payment/Withdrawal,如何计算提款流水,1,"提款是需要完成存款的1倍投注流水，  流水是累计投注金额，通常在没有申请或得到红利的情况下，存款是需要完成一倍流水方能提款的。（如有申请优惠或者红利的情况下，请根据优惠或红利提款流水要求）
 
这里给您举个例子，让您了解流水是怎么计算的：
 
比方说您的存款是8000元，投注了4000元，赢利是4000元，账户余额变成12000元，再下注4000元，即可达到流水
如果您最后投注了4000元是输的，那么账户还有8000元可以提款。
 
如果您最后的投注4000元是盈利的，获得的盈利是4000元，那么就代表您到时候可以提款16000元。
 
您可能也想了解：<intentlink>提款前注意事项</intentlink>","你们提款流水怎么算？
你好。取现有流水投注要求吗
提款有没有流水限制
一倍流水就可以提款是吗
取款对流水有要求吗？
那我要是打1倍流水的话可以提款么
多少可以提呢？需要一倍流水吗？
存款的一倍流水吗？
一倍流水什么意思
你好～请问每次存款都要一倍的流水才能提现吗？
存款在提款不需要一倍流水吧
比如我昨晚存了100，那完成一倍流水是什么意思？
提款有什么流水条件吗
不太明白一倍流水的意思，可否解释一下
流水多少可以提现
提款有不有流水要求
提现有什么要求
取款一倍流水吗
你好我问一下，几倍流水提款
为什么说我流水不足？
我还有多少流水才可以提款
我可以提款多少金额？",How to Calculate Withdrawal Turn Requirement,betway.cn.Payment/Withdrawal
betway,cn,user,Payment/Withdrawal,屡次提款被拒,1,您可以点击下方的人工客服，咨询我们的客服人员获得协助哦~ ,"两次提款都被弹回下来
出不了款，几次了都被取消或失败的
我的取款为啥一直拒绝
提款的时候一直拒绝
一直拒绝什么情况啊
我要提款但是一直拒绝为什么
怎么下午提一直拒绝呢
这个提款一直拒绝是为什么？
提款一直拒绝咋回事，第一次在这个网玩
我提现怎么一直拒绝啊
你好我有个提现申请一直拒绝
8点前说银行维护一直拒绝我提款
为什么今天提款一直拒绝啊
在吗为什么我提款老是拒绝
提款怎么老是拒绝
为什么无法提款，两次提交，两次都拒绝了
怎么提款两次都拒绝",Withdrawal repeatedly rejected,betway.cn.Payment/Withdrawal
betway,cn,user,Payment/Withdrawal,提款一直显示处理中,1,"如果您是第一次提款或者有更换了新的提款银行资料，您需要进行第一次提款验证呢，您可以参考这里怎么办理<intentlink>提款首次验证</intentlink>
 
另外，您是否已经满足了提款流水要求？了解<intentlink>如何计算提款流水</intentlink>
 
 
温馨提醒：必威不支持第三方进行提款，提交提款前需确保所填写的银行卡信息与账号相符呢~~
   
 
如果您已经完成首次提款验证，并且提款已经超过指定的时间还没有处理到账，请点击【人工客服】做进一步的查询哦！ ","提款一直显示处理中，什么状况
过了半个小时了提款怎么还是待处理
提款一直显示处理中
早上申请的提款，到现在还是一直显示处理中，干啥啊？
提款怎么一直还是显示处理中?
提钱的，怎么还是显示处理中?
我的提款一直显示处理中，可以快点吗
为什么我的提款一直到处理中
提款为什么一直待处理
我的提款待处理是什么意思呢
怎么我提款显示待处理？
取款待处理什么意思
您好。为什么我提款2次200都是待处理中。已经很久了
早上提款，都半天了还是待处理啊
提款怎么一直是待处理状态
帮我催促下提款，状态都一直是待处理
提款怎么好久都是待处理状态
W201808291713837这是我刚提款的申请，一直显示待处理，麻烦处理下，谢谢
您好为什么体现1小时还是待处理
能不能把提款快点处理一下了，这么久了，一直是待处理，事都被耽误了
等待处理？你们真厉害，4个小时了提款还是待处理
你好我刚刚提款了但一直是待处理
提款5个小时不到账
提款一直显示处理中啥意思？
提款过了1个多小时了，还没有到
提款2天了，还在处理中？
刚刚提款，怎么一直在审核啊？这提款也太慢了吧
说什么协助审核出款是什么意思啊？",Withdrawal Always Show Processing,betway.cn.Payment/Withdrawal
betway,cn,user,Payment/Withdrawal,提款前注意事项,1,"提款前是需要验证您的手机号，邮箱号，以及完善您的个人资料后才能进行提款，并且是无需设置提款密码~
 
另外，我们目前是只能绑定一张提款银行卡的，如果您想要更换请您点击<intentlink>移除銀行资料</intentlink>解除当前绑定后再到银行资料页面重新绑定哦
 
 
您也可能想知道：
 
<intentlink>怎么进行提款申请操作</intentlink>
 
<intentlink>无法收到必威邮箱验证的邮件</intentlink>
 
<intentlink>无法收到必威发出的手机验证码</intentlink>","提款需要完善个人信息吗
可以不要验证邮箱进行提款吗
提款要验证邮箱和手机吗
怎样提款
提款步骤？
怎样绑定多张提款卡？
必威提款无需提款密码？
提款密码哪里设置？
第一次提款怎么提？
怎么样提款
申请提款
请问，怎么提款
怎么提款
不会提款
怎么体现",Withdrawal - Important Info,betway.cn.Payment/Withdrawal
betway,cn,user,Payment/Withdrawal,提款前注意事项,1,"提款一般是30分钟内到账
 
建议您确认提款讯息准确无误，并且了解提款步骤，避免错误而导致您的提款延迟的。
点击这里了解<intentlink>提款</intentlink>
 
如果您是首次提款，需要验证您的提款银行信息后系统方能处理您的款项哦， 点击这里了解<intentlink>提款首次验证</intentlink>
 
另外如果同时间出现多笔交易，也会导致出款出现延迟的哦，一般都会在24小时内完成。请耐心等候~
 
同时提醒一下下~~~~由于一般银行都会在晚上23点-凌晨1点进行维护，小助手会建议您避开这段时间进行提款哦。如果您在这期间进行提款，必须要等到维护过后方能处理哦，谢谢~~","提款多久到账
提款需要多久时间到账
请问提现要多久才到账
为什么提款这么慢
第一次用你家的App.提款大概什么时候能到账
提款要多久？
提款的账要等多久啊？
提款多久到账？
提款要处理多久啊？
出钱要多久？
出款要多久
取款能不能快点到账啊
你好申请了提现要多久到账
一般提款要多久到账？
提现咱们多久到账
必威提款多久到账啊？？
你们对外宣传的是提款多久到账
提款多久到账？这么慢？
你这个提现一般多久到账
正常提款一般多久到账
咨询下提款多久到账
我是新会员，请问必威提款多久到账",How long for withdrawal?,betway.cn.Payment/Withdrawal
betway,cn,user,Payment/Withdrawal,提款申请失败,1,"这个有好几个可能哦~
 
（1）您不妨再次提交提款申请并确保提款卡信息正确无误
 
（2）您确认您的流水达到了提款要求了吗？点击这里了解<intentlink>如何计算提款流水</intentlink>
 
（3）您是不是已经已经超出提款金额限制呢？点击这里了解<intentlink>提款金额限制</intentlink>
 
温馨提醒：必威不支持第三方进行提款，提交提款前需确保所填写的银行卡信息与账号相符呢~~
 
如果您确认以上的条件都满足了，可以咨询【人工客服】做进一步的咨询哦~~~","你好。提款为什么拒绝呢。
你好我提款怎么失败了呢？
提款怎么拒绝呢
这个提款失败了
提款失败了，请看看怎么回事？
你好我刚才411的提款被拒绝了
提款为啥拒绝
提款拒绝，帐面金额没了
提款为什么被拒绝？
提款失败了
为什么提款失败
为什么刚才我的提款申请被拒绝了？
怎么提款拒绝
我得提款失败是怎么回事啊
为什么提款失败呢
请问为什么我的提款会被拒绝呢
我刚才提款，为什么被拒绝呢？
帮我看一下我的提款，为什么失败
帮我看一下怎嘛提款失败
我的提款为什么被拒绝了
为什么提款失败呢？是有额度没到吗？
提款被拒绝
我的取款为什么总是拒绝
为啥提款被取消？
被取消，为啥？
为啥你们取消了我的提款？
提款被取消，什么回事？
早上那笔提款失败了
提款被弹下来了，什么回事
为啥提款失败？
提款又失败了
提款申请失败
为啥不给提款？一直说什么失败的
提款为什么被拒绝",Withdrawal Rejected,betway.cn.Payment/Withdrawal
